(13320,1142)
(2609,1260)
(12639,1501)
(17218,1705)
(4727,1709)
(898,2083)
(4480,2173)
(2116,2326)
(16280,2859)
(15911,3138)
(7625,3323)
(11478,3536)
(9847,4185)
(6617,4401)
(2279,4769)
(2230,4902)
(9636,4909)
(13275,4923)
(17160,5042)
(5793,5163)
(13175,5187)
(16837,5329)
(11092,5399)
(17271,5592)
(14667,5752)
(5032,5917)
(10213,6212)
(10452,6264)
(8729,6403)
(776,7238)
(12261,7599)
(12860,8119)
(11685,8420)
(14673,9562)
(5274,10092)
(6872,10249)
(4582,10367)
(3128,10418)
(16627,10481)
(2579,10695)
(8468,10700)
(12228,11000)
(2987,11391)
(9977,11413)
(1862,11864)
(1208,12451)
(5959,12625)
(14556,12637)
(1129,12667)
(2145,12705)
(7898,12951)
(12769,12987)
(5998,13040)
(1665,13062)
(16398,13140)
(9696,13241)
(11425,13342)
(1196,13597)
(14281,14147)
(8016,14360)
(1931,14496)
(17879,15014)
(18403,15085)
(8248,15236)
(4551,15292)
(10930,15524)
(14841,15544)
(19847,15679)
(2203,15953)
(15382,16140)
(2999,16150)
(7168,16264)
(9357,16310)
(6930,16337)
(16119,16405)
(1519,16794)
(12556,17136)
(4790,17438)
(18326,17555)
(2975,18017)
(8677,18422)
(4068,18834)
(5659,19025)
(4834,19173)
(14409,19889)
(9092,19918)
(2443,20217)
(15877,20266)
(449,20441)
(15449,20958)
(7615,21351)
(12956,21874)
(5286,22058)
(16472,22276)
(6345,22895)
(11867,22984)
(10914,23129)
(14426,23412)
(6988,23694)
(4500,23721)
(5034,23776)
(2455,23795)
(10663,23911)
(3905,23952)
(8627,23970)
(3699,24128)
(1775,24306)
(4580,24742)
(10766,25393)
(19852,26026)
(11278,26109)
(481,26151)
(13118,27605)
(1687,27724)
(10121,27776)
(4046,28321)
(16540,28379)
(12140,28501)
(10753,28645)
(11056,28768)
(6861,29045)
(15354,29363)
(11860,29403)
(16302,29751)
(879,30381)
(16857,30514)
(17660,30797)
(10083,31020)
